,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120,TAXA_121,TAXA_122,TAXA_123,TAXA_124
SAMPLE_1,0,0,0,0,0,0,0,530,0,2157,203,219,0,1729,0,0,0,0,36,23,45,34,29,53,0,0,0,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,0,0,41,33,0,9,1,0,0,0,0,227,290,379,0,0,0,714,0,3807,6368,164,650,19,0,10,0,8,21,55,16,13,66,216,9,0,0,3,1,1806,614,0,0,273,0,0,0,374,0,463,374,218,267,0,863,0,531,1703,0,311,0,551,0,359,36,46,0,816,0,0,842,250,2498,299,333,0,0,0,0,0,0,0
SAMPLE_2,0,13,158,105,0,629,968,0,16,0,103,12,0,0,39,0,1274,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,1499,728,173,786,0,0,0,1810,7,0,29,0,6,0,2403,3812,162,537,1063,157,0,10,29,17,16,0,0,9,9,1,643,869,5534,3353,0,0,237,445,1168,2763,475,3612,0,1632,371,1808,1730,2516,0,690,0,1217,5475,0,290,0,340,0,500,2120,23,0,0,0,7,2,2,3,54,255,117,0,0,25,79,0,3
SAMPLE_3,0,0,0,0,0,0,0,0,0,0,93,2,8,60,0,0,1159,0,123,89,302,133,217,172,65,86,0,0,4004,1500,0,0,4,190,1134,0,175,514,14,304,0,285,0,2480,0,0,952,1256,631,180,662,0,44,1010,2982,794,0,0,3,0,0,2137,3328,54,60,1406,0,209,0,0,0,0,0,0,0,0,0,577,797,4835,2893,0,0,160,319,1032,1920,122,825,0,0,0,0,2010,2069,0,581,0,1063,4703,0,271,0,276,0,409,1989,31,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
SAMPLE_4,493,26,0,0,0,0,379,370,0,2762,203,294,0,2117,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,1694,996,1943,0,0,2417,0,0,38,30,0,7,0,0,0,0,0,0,159,0,44,0,0,822,0,4823,7602,142,630,1447,374,237,682,16,25,30,0,0,0,0,0,0,0,0,863,789,0,632,749,111,566,0,0,443,0,544,321,227,120,0,0,0,0,1658,0,398,0,687,0,460,0,50,0,1020,0,0,1051,315,3008,342,833,0,62,2329,1480,0,694,42
SAMPLE_5,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,62,20,35,26,0,36,0,0,0,1785,0,0,65,0,19,0,71,333,1843,1015,1644,0,0,2005,0,0,0,40,36,56,27,0,11,2,0,233,308,390,0,0,0,686,0,4022,6392,143,537,1262,338,211,617,12,19,31,0,0,0,0,0,0,0,0,0,1751,527,0,177,182,385,0,0,339,0,414,0,323,312,146,1156,0,559,1883,0,340,0,602,0,375,33,42,0,0,0,0,0,199,2391,307,250,0,0,0,0,0,0,0
SAMPLE_6,486,19,0,0,0,0,386,418,0,2784,232,287,0,2240,0,0,29,0,1,0,0,0,19,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,875,0,4868,7887,142,634,1461,409,268,748,19,22,49,36,25,63,285,10,0,0,1,2,2124,691,0,220,235,460,0,0,473,0,559,445,269,379,168,1337,0,653,2212,0,439,0,708,0,472,37,42,0,1014,0,0,1075,315,3048,344,351,0,67,2274,1532,0,706,52
SAMPLE_7,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,0,0,18,0,0,10,0,19,0,30,0,0,0,1955,0,0,68,0,24,0,51,357,2034,1048,1826,0,0,0,0,0,0,0,44,54,28,0,0,0,0,230,313,403,0,0,0,763,0,4522,7084,0,0,970,481,0,504,15,29,56,32,26,89,249,9,0,126,999,1886,0,0,856,730,111,613,0,193,332,0,449,0,245,0,186,1057,0,576,2051,0,387,0,615,0,423,26,50,0,941,0,0,956,276,2763,99,0,0,0,0,0,0,0,0
SAMPLE_8,1864,93,122,94,0,520,860,0,0,0,0,0,0,6,33,0,1255,0,110,87,312,145,204,163,0,459,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1011,2917,839,0,29,0,1,0,2071,3287,288,1037,0,135,7,12,39,7,26,0,0,20,5,1,0,0,0,2153,0,0,222,416,1044,2449,380,3151,0,1439,315,1584,1481,2164,0,559,0,1048,4521,0,209,0,0,0,2,2230,0,0,0,0,0,6,6,6,85,430,123,0,0,383,138,988,185
SAMPLE_9,525,23,0,0,0,0,420,386,0,2558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204,0,0,67,0,0,0,80,372,2270,1253,1997,0,0,2514,0,0,50,42,0,6,2,0,0,0,0,0,163,0,54,0,0,886,2438,0,0,0,0,0,0,16,622,18,32,56,36,49,0,250,7,0,0,0,0,2185,665,0,190,247,470,0,0,441,0,625,491,266,424,156,1301,0,336,571,0,0,0,320,0,231,36,35,0,1040,0,0,1044,309,3079,301,117,0,83,2231,1539,0,693,53
SAMPLE_10,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,15,1822,149,57,364,192,287,210,84,93,0,0,5152,1902,0,0,777,222,945,0,48,163,2,112,1663,0,0,3129,0,0,1266,1687,786,219,900,0,42,1345,3824,1038,0,0,1,0,0,2459,4277,310,1145,0,172,5,12,43,12,21,0,0,1,0,3,0,817,5067,3522,0,0,0,0,1002,0,0,0,343,0,441,2089,2072,2852,0,823,0,1418,6016,0,354,0,311,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
