,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100
SAMPLE_1,0,705,0,2454,201,204,0,0,2493,1235,119,69,0,207,2333,3310,775,271,0,120,475,142,0,196,249,560,472,78,105,1588,5347,258,3242,1129,1074,759,456,0,0,16,196,0,0,466,163,85,618,124,0,221,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,1434,1150,2558,0,612,253,244,453,0,0,0,0,2710,3875,2708,1714,6349,6899,1661
SAMPLE_2,0,303,153,1704,626,89,2713,1137,0,0,0,1173,0,0,1030,322,1996,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,1394,569,2489,2154,0,0,0,5,110,97,0,0,17,0,0,147,0,0,0,0,586,0,723,0,874,117,0,0,0,0,0,157,3522,1021,0,3844,1805,4743,0,0,263,547,5116,1032,0,0,42,0,0,0,0,13,0,13,1454,970,1752,1126,311,3708,0,325
SAMPLE_3,0,246,90,3075,248,0,429,0,290,0,842,43,0,174,2906,2289,1278,326,1029,982,0,29,0,207,312,634,0,219,1832,1592,4955,1716,0,0,0,0,0,0,0,0,0,43,0,0,0,172,0,110,0,534,23,929,786,2159,0,46,1192,866,644,0,0,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,159,0,0,0,1701,2002,0,444,15,150,2309,0,599,0,0,0,0,454,1001,2391,6258,206
SAMPLE_4,0,233,53,1645,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,1278,1417,517,0,0,0,485,1008,19,2514,0,0,0,12,297,796,0,45,0,987,0,2139,0,0,203,651,452,1685,0,2103,1,971,2101,0,0,132,0,2400,3,104,0,603,2007,37,404,0,7524,4390,498,4916,0,0,324,0,1316,1901,0,0,0,475,0,23,0,0,0,1761,0,698,342,0,522,759,863,339
SAMPLE_5,0,7,4,0,23,86,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,6,1461,2339,0,2760,0,0,0,494,535,0,206,0,0,1338,302,2752,4399,0,85,362,518,360,692,920,2804,0,1715,619,0,455,0,0,515,1524,0,705,0,0,3418,0,0,0,0,0,0,0,0,6424,158,76,189,0,0,50,0,2679,0,0,1810,96,0,0,242,6546,0,1015,0,0,140,781,1514,1702,5572,11175,33
SAMPLE_6,0,983,79,2121,293,531,0,351,0,0,0,0,0,301,1063,2896,0,0,0,253,1485,1290,0,0,3,1539,2560,736,3101,0,0,0,1663,544,5390,1238,483,0,102,56,239,71,234,0,108,39,61,231,634,0,0,0,0,38,0,3,50,78,0,0,0,0,0,203,0,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,32,958,0,0,1413,0,101,0,0,0,0,0,0,86,513,1719,4284,5765,1142
SAMPLE_7,0,0,0,1590,125,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,122,29,1527,11464,2007,2111,0,404,0,0,0,454,399,991,248,0,17,236,66,820,12,21,0,0,325,19,340,0,197,182,1028,1414,0,0,199,0,796,0,0,0,0,0,0,0,0,4505,0,666,1100,452,401,148,3,0,2763,0,0,0,1824,0,450,1207,0,180,0,0,19,117,547,1729,5225,7831,0
SAMPLE_8,0,131,132,1864,571,226,0,0,1202,1612,0,1473,1539,0,1213,0,0,0,0,0,235,181,0,132,0,1516,1922,0,2297,0,0,0,16,25,8,11,0,1412,816,240,1036,204,0,0,536,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,1988,6263,1449,4980,995,1164,96,788,0,441,3007,2865,0,0,609,169,1892,0,460,0,0,1157,869,3921,5506,14060,18956,139
SAMPLE_9,0,343,224,0,375,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,0,642,0,960,2600,450,442,45,0,14,0,1111,0,790,2313,2055,0,0,36,992,0,911,1969,1474,0,921,154,651,616,0,0,242,1611,0,626,0,0,820,1814,1168,0,104,825,1,47,0,1241,0,0,0,0,0,5,71,79,0,0,0,0,4638,925,613,0,0,0,21,0,1356,582,1050,2776,7399,4548,1182
SAMPLE_10,0,207,17,68,16,41,0,1,0,0,0,0,0,0,0,0,0,0,252,761,0,409,0,641,319,0,0,0,67,1612,8706,932,3967,1278,1886,1921,189,0,369,47,364,123,371,0,408,549,707,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1362,0,867,801,655,3933,0,0,0,2574,1861,254,0,386,493,20,549,0,1802,33,0,0,750,0,110,2400,0,128,0,16,0,0,0,2235,436,1227,1647
