,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118
SAMPLE_1,0,88,0,2912,0,0,4937,1805,0,1515,0,2119,1929,2274,0,394,0,0,0,3141,26,0,367,0,0,166,0,0,228,0,0,1426,34,0,0,0,7,0,978,13,63,0,297,0,0,0,3018,0,0,1488,900,0,0,604,1825,0,0,0,1708,15,0,0,645,0,79,3642,2704,0,1371,35,172,0,0,1087,0,600,85,2260,2166,0,0,0,42,0,522,827,64,0,8473,354,0,180,618,0,31,0,789,0,0,4867,0,0,3681,0,0,0,616,0,2357,0,100,760,0,2666,0,0,24,87
SAMPLE_2,0,0,0,2033,0,2664,1501,25,528,2175,0,385,1974,1545,0,2079,0,94,2523,0,0,0,317,136,0,46,10,0,690,0,0,0,96,0,0,99,2530,0,703,39,0,0,0,30,0,1057,35,0,1098,0,0,0,0,0,0,0,0,0,425,103,0,952,0,91,340,0,2027,0,0,73,0,0,53,0,9,621,0,0,0,2137,0,0,268,0,0,0,617,1124,10195,0,0,0,910,1176,2352,0,0,0,901,9596,552,0,2272,1114,0,132,28,0,0,1112,0,195,0,0,5226,0,135,0
SAMPLE_3,0,1018,41,0,7,56,2134,9,2000,3528,0,0,1784,0,0,435,0,5169,0,0,0,0,1004,1426,0,0,0,46,1907,1126,14,2641,50,0,457,1030,0,0,2060,0,2274,0,4,0,0,0,97,1029,0,558,0,82,0,0,4779,0,0,0,0,3733,0,780,486,1183,465,644,18,0,0,13,0,0,0,0,8,607,2117,522,2119,0,0,0,37,0,1797,0,392,0,6198,94,0,0,212,62,473,0,1978,323,0,4528,0,0,5595,722,0,0,0,0,233,1516,0,1306,0,0,6692,0,16,0
SAMPLE_4,273,2769,3735,0,0,3653,0,0,0,0,0,0,225,525,193,1412,0,0,111,585,253,0,291,0,0,1166,0,0,537,0,0,0,0,0,0,224,0,0,0,0,400,33,10,185,0,0,244,0,0,782,0,251,0,176,0,0,209,0,0,0,0,300,3090,0,0,1086,814,0,0,76,0,0,17,0,236,1024,451,169,50,131,0,0,21,0,1429,0,2365,0,11881,18,1093,0,1615,0,0,0,1292,0,0,8551,334,0,290,516,0,0,61,286,0,86,686,0,279,1760,4248,184,252,1407
SAMPLE_5,899,487,0,0,75,20,6535,0,14,0,0,955,6,5279,0,494,0,0,0,0,0,0,189,262,3998,2218,23,1924,228,0,0,479,0,0,0,348,0,0,392,0,721,1162,0,925,0,0,50,336,0,806,0,0,1228,570,1345,52,0,0,0,1985,19,0,3586,233,547,915,0,25,0,656,0,0,22,0,41,58,653,0,46,37,50,0,24,0,1236,0,0,0,7773,0,0,0,1885,0,0,219,0,0,758,5818,474,0,1356,771,35,0,51,958,914,0,0,729,2332,0,0,1014,0,849
SAMPLE_6,513,0,0,0,8,111,0,4,2262,0,0,0,2149,1793,0,247,0,9152,0,3550,524,0,1269,33,3198,1107,0,0,57,0,0,0,0,0,12,0,0,0,2369,0,367,0,28,1434,0,0,401,0,0,437,375,0,0,1625,1596,0,0,0,48,5284,0,0,918,475,19,0,0,0,1186,169,0,0,0,0,192,628,0,3607,2191,215,0,0,38,0,1386,0,16,0,0,0,0,0,567,5,0,0,1278,0,0,103,0,0,3324,458,404,37,0,0,1277,495,557,739,0,0,104,1751,19,0
SAMPLE_7,0,1185,0,0,0,0,5951,0,1935,0,0,0,3740,8484,716,2738,0,0,0,37,18,0,103,0,0,432,0,0,0,0,0,204,83,0,439,0,575,0,1911,0,2451,0,1,0,472,0,10,0,0,893,0,579,0,1580,3300,0,10,0,0,891,0,2002,1760,338,0,4167,0,0,46,0,0,0,452,0,0,2165,242,50,125,0,0,0,308,0,0,0,0,0,10065,293,0,0,1684,0,0,1691,1361,0,0,8109,0,0,3686,958,31,1020,2930,0,0,1821,283,0,0,0,0,872,3,1284
SAMPLE_8,1606,675,0,0,69,756,0,1001,1265,289,0,45,10664,0,0,2352,0,2222,0,0,1561,0,523,0,0,3363,0,0,3399,0,0,1409,0,0,926,982,0,0,0,725,1491,2080,0,204,0,0,68,0,0,1303,4,0,47,85,64,226,0,411,0,2829,0,0,51,0,0,1479,1856,0,14,2451,0,0,232,195,17,3365,192,69,2227,190,0,0,225,0,0,0,0,0,1213,17,0,0,16,0,56,20,1161,0,0,879,205,0,108,683,0,780,439,0,0,4636,0,574,0,664,588,220,1060,5787
SAMPLE_9,0,0,579,0,642,1436,2523,375,0,0,0,14,4935,2901,0,68,0,0,0,0,0,0,546,1039,142,0,0,2171,0,0,0,0,278,0,0,0,0,0,1089,0,0,0,0,0,0,0,36,0,591,1747,0,0,0,141,1232,1195,0,0,0,922,162,0,1740,0,1694,2017,2927,0,0,0,2155,0,1471,0,0,2109,0,0,1315,1448,0,0,8,0,64,0,1459,0,0,0,0,706,1540,0,2765,537,553,0,0,0,0,27,1966,261,38,0,763,0,0,651,0,978,1547,2170,5421,0,360,0
SAMPLE_10,263,741,0,0,0,592,3363,29,684,0,0,1556,5337,1371,0,123,0,2469,0,4790,111,0,0,21,0,3595,0,0,519,0,0,0,1411,0,0,787,0,0,2231,0,1267,22,0,0,0,22,0,0,0,0,0,6,552,1519,957,0,0,0,650,2105,0,2234,0,1181,0,0,161,6,0,357,4185,895,995,1467,1012,1772,127,0,1909,775,0,0,10,0,2737,0,3088,0,0,18,0,0,44,183,2203,0,405,0,929,26,0,419,1402,397,0,1,0,0,0,0,0,594,0,960,0,1828,394,351
