,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120,TAXA_121,TAXA_122,TAXA_123,TAXA_124,TAXA_125,TAXA_126,TAXA_127,TAXA_128,TAXA_129,TAXA_130,TAXA_131,TAXA_132,TAXA_133,TAXA_134,TAXA_135,TAXA_136,TAXA_137,TAXA_138,TAXA_139,TAXA_140,TAXA_141,TAXA_142,TAXA_143,TAXA_144,TAXA_145,TAXA_146,TAXA_147,TAXA_148,TAXA_149,TAXA_150
SAMPLE_1,0,0,205,0,1020,200,490,469,0,0,0,1202,0,0,0,136,0,0,2169,0,0,836,0,327,0,1146,0,1016,0,0,174,0,88,466,2240,581,0,0,0,770,542,0,603,933,0,0,1218,0,1885,517,3980,4783,2410,0,0,4576,0,1252,0,1640,114,621,0,0,0,0,0,1529,6343,573,0,951,0,0,0,0,2565,1792,0,1327,0,1121,0,0,5800,312,0,0,72,759,0,1725,5433,1373,0,0,0,0,0,0,1075,1338,0,40,830,0,725,0,0,0,0,2585,917,1634,5122,221,708,3622,0,0,0,773,1827,0,0,1165,705,5246,0,815,0,870,1274,0,0,965,0,5904,4148,0,0,0,0,0,0,1081,0,0,0,0
SAMPLE_2,249,0,0,0,0,21,2375,0,661,0,0,152,0,745,2073,451,310,176,704,26,0,0,0,1913,0,0,0,0,1467,4966,0,0,2,0,1192,3420,0,0,0,667,195,0,18,0,0,0,0,0,78,4486,1797,1734,0,3201,0,1569,2618,0,0,365,0,90,0,0,0,1131,0,300,0,1194,0,0,0,0,1188,0,255,0,0,0,0,0,0,119,0,0,1717,0,0,732,0,0,2248,2619,0,252,0,0,2872,133,0,2188,566,0,0,0,189,1286,593,0,20,0,0,0,768,36,0,969,0,0,0,0,171,0,0,4358,104,2843,0,448,0,496,767,189,1471,0,0,3375,0,0,751,0,0,0,0,0,0,531,385,0
SAMPLE_3,1127,1711,0,0,0,714,799,319,0,265,0,86,0,0,822,456,0,1124,1735,303,0,0,0,0,0,0,128,0,0,0,0,448,230,1220,676,2172,0,0,0,0,784,0,0,0,2107,100,1869,0,0,0,1111,0,6156,0,0,0,0,222,261,0,0,0,0,0,0,1146,0,667,4003,2049,1161,0,75,0,1270,0,0,0,0,0,0,0,0,0,1184,0,557,2073,0,992,0,652,2243,3343,1629,993,104,0,0,222,0,1451,0,0,0,3238,0,0,1497,0,0,0,757,840,0,0,619,0,0,4387,999,1217,3771,577,47,1492,61,0,0,266,0,1197,0,536,0,1594,0,2540,3877,0,199,142,0,85,608,0,0,1397,0,6
SAMPLE_4,688,0,0,1050,0,193,0,188,33,306,0,787,0,1328,0,0,825,0,3059,0,204,321,0,0,0,0,0,1590,696,7220,0,0,0,122,2304,0,0,4850,0,1106,1153,0,0,1107,0,12,920,0,0,0,0,0,0,0,0,386,2736,0,0,1944,0,39,0,0,0,0,17,0,3649,620,0,0,0,80,0,0,39,0,0,0,0,0,0,1147,6892,0,1553,791,0,1074,0,0,2163,2868,0,0,0,390,3207,111,67,1932,0,10,417,0,868,0,0,0,4,567,0,794,0,59,1070,2610,0,0,0,0,0,1546,1405,0,0,4404,0,888,628,119,0,1535,0,0,1146,2162,3323,0,344,0,0,1394,376,0,0,0,0,323
SAMPLE_5,262,0,669,190,0,0,5029,535,1277,762,0,0,0,0,903,0,1631,0,0,0,193,0,0,1792,0,0,0,0,0,6393,30,398,0,0,0,638,231,0,0,4240,306,0,0,0,211,0,2703,0,0,1020,695,0,0,0,0,0,85,1022,446,0,10,0,0,0,0,0,135,53,195,756,0,15,0,0,0,0,86,0,0,0,0,6687,1372,78,0,87,0,2260,0,0,720,596,0,2479,0,0,364,338,0,6,3924,4059,0,60,0,559,0,169,0,201,0,0,0,0,776,0,0,0,190,1718,270,0,1381,1546,1116,0,0,654,0,3157,0,370,0,1121,1475,0,380,0,602,0,0,0,0,0,0,1072,3134,0,0,0
SAMPLE_6,831,592,0,1138,2293,0,0,629,316,0,0,87,0,0,116,0,0,1259,2868,0,0,457,1223,128,0,0,0,0,4980,4241,0,0,0,355,2357,1256,2739,2488,0,0,0,0,0,0,3134,0,1570,1267,0,953,573,0,2410,4039,0,0,375,0,786,3025,0,1032,2043,0,0,460,0,0,0,3644,1394,0,0,0,93,0,0,0,175,2274,0,0,286,1241,0,41,0,547,4964,1211,0,0,0,2410,0,0,0,0,2381,91,4056,1992,0,0,0,420,0,1735,0,0,0,226,590,3462,0,0,3690,0,0,0,0,0,3815,1586,50,0,0,5130,0,0,0,0,354,3145,0,98,94,0,0,1185,0,36,0,1177,298,0,0,149,0,720
SAMPLE_7,750,220,0,58,1235,155,0,0,517,0,0,0,0,0,0,267,0,1075,3201,0,3223,168,119,0,1056,0,0,0,3404,3727,0,0,799,196,3437,970,4036,2673,0,2443,1737,0,0,0,780,0,1076,984,488,1294,0,0,1220,0,0,0,379,282,4088,0,224,0,0,0,0,0,0,0,0,2084,0,780,0,0,0,235,0,58,0,460,4245,0,1162,4135,0,4435,0,366,1476,252,0,0,551,0,2181,0,0,0,0,96,1612,0,1826,0,0,1299,0,0,221,368,0,539,0,0,0,0,717,0,1781,0,0,75,1538,869,0,4381,0,0,0,0,0,0,1333,0,0,0,245,1104,780,0,0,51,0,1186,277,210,0,707,0,87
SAMPLE_8,0,0,3486,0,75,0,449,0,856,90,215,2267,70,0,272,0,0,1515,4297,0,592,0,0,629,0,0,0,0,1424,4298,0,0,0,0,2040,0,0,2646,0,0,415,0,492,0,0,0,0,0,2390,478,559,233,4185,2138,0,22,16,0,916,0,0,0,0,0,100,0,42,337,3122,0,0,0,0,940,0,167,2735,938,0,0,0,0,1523,0,0,463,1023,1132,0,0,0,541,0,0,3536,0,0,2257,0,0,0,0,0,0,0,858,0,5432,0,197,0,0,6688,0,0,48,638,2169,0,0,0,0,0,878,0,0,0,4916,0,3298,423,0,1304,0,0,0,614,1680,0,0,0,0,0,339,0,0,0,1459,3063,927
SAMPLE_9,233,0,1866,0,0,0,3608,0,0,582,0,0,0,0,2510,0,1419,0,0,0,1692,0,0,0,0,0,0,0,4856,4880,0,0,922,115,0,0,0,633,241,230,0,0,694,226,0,0,0,1998,0,3935,1922,234,3470,0,0,0,0,970,0,0,0,0,2778,0,0,0,0,1742,2763,260,1317,0,0,3116,333,1659,1058,0,0,1984,1544,6829,0,1358,0,2319,0,0,2964,482,0,0,2756,1326,1421,0,74,3794,1545,112,738,2347,10,0,279,3641,0,0,1802,1018,302,0,0,1847,108,0,0,2400,0,1029,489,381,0,0,732,2789,0,3502,0,3267,1134,2471,821,0,0,0,0,321,0,0,0,0,0,968,0,2204,0,117,295,134
SAMPLE_10,565,0,2051,0,0,0,2927,0,0,777,0,1952,0,0,183,0,0,0,2651,33,1950,773,0,1117,0,0,0,0,0,5907,92,29,135,0,1944,2398,1188,0,0,2034,364,263,177,0,0,743,145,0,0,1554,1631,0,0,2968,0,5162,743,0,2326,0,147,56,0,0,0,0,1104,0,3149,0,0,0,0,0,0,0,1865,0,0,0,0,0,0,0,5921,0,0,2285,2255,0,1731,12,0,0,0,0,0,0,0,0,2475,0,3590,120,809,4562,0,0,0,556,0,0,783,0,0,426,0,699,0,0,0,2021,3544,1,0,2324,367,0,0,2115,0,0,0,0,0,1500,0,3361,0,0,0,0,854,1828,0,0,384,1040,0,90
