,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116
SAMPLE_1,0,43,427,901,127,373,0,0,850,0,5049,1033,405,0,395,153,219,1595,4165,0,1346,2316,257,993,0,1814,0,0,2549,7268,6723,443,0,1024,0,278,94,0,124,280,306,30,846,35,2446,792,187,131,1163,0,0,0,0,57,34,0,1457,731,423,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4183,0,4705,563,730,2699,2292,0,887,420,0,0,0,0,0,0,0,505,3143,0,386,142,246,1297,2332,320,0,65,0,164,0,255,36,0
SAMPLE_2,0,39,515,1110,137,451,0,125,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,2976,0,383,70,0,299,546,0,1283,0,328,76,0,143,313,368,37,976,39,2985,912,227,166,1370,3473,197,0,0,49,57,0,1783,931,541,44,0,74,0,0,0,0,0,0,0,0,0,6,3,26,0,0,0,0,949,0,0,0,0,0,1929,820,2754,3664,0,3560,1426,623,0,0,674,0,949,0,0,568,3906,0,427,159,329,1452,2946,0,0,0,0,0,0,0,41,0
SAMPLE_3,541,41,110,67,28,23,0,9,949,0,6912,3425,447,1698,0,0,0,2150,4754,0,0,0,0,0,0,0,0,0,1394,3980,3572,0,168,0,311,17,45,0,83,277,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,109,127,0,829,653,851,2688,0,0,6308,0,3616,1193,534,0,36,4,22,0,0,0,0,217,445,0,0,0,0,0,0,39,0,108,51,0,59,831,216,1685,595,0,0,272,2054,0,0,0,0,0,0,0,0,8,14,40,0,4,0,887
SAMPLE_4,0,35,0,655,0,259,0,75,787,0,4275,894,380,0,85,0,44,1462,3297,0,1075,1722,193,929,0,2109,0,285,2136,5234,5541,375,0,886,0,231,55,0,83,178,237,0,663,36,2015,595,191,119,890,0,0,0,0,33,38,0,983,433,174,0,7,462,7,3660,0,744,0,11,673,1796,365,6,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,184,813,1886,208,0,71,26,291,177,240,23,0
SAMPLE_5,0,0,0,791,0,346,0,96,0,0,5009,1018,481,0,1,0,1,1926,4398,0,0,756,0,874,0,2602,0,312,2799,6649,7037,482,0,1081,0,241,0,0,0,258,146,25,638,27,2616,727,0,137,1203,0,0,0,0,0,61,3,1485,823,438,15,0,586,0,4718,0,876,827,9,1102,2355,524,1,0,0,0,0,0,0,0,832,311,0,1827,899,0,771,0,2323,4,3179,1219,511,37,317,686,482,0,0,0,483,3376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_6,0,0,0,0,0,0,0,0,874,0,5223,1084,417,0,316,130,201,0,0,0,2921,2320,246,1158,0,2693,0,324,2722,6552,6947,486,0,1130,0,273,39,78,49,0,713,23,719,26,2602,718,322,0,1191,0,0,0,0,0,0,0,1505,805,473,18,0,572,0,4577,0,668,0,1305,0,0,0,4,5,11,0,0,0,0,0,842,361,0,3711,0,4767,0,0,1240,0,2785,762,0,194,1819,1031,3526,1034,0,0,472,3190,0,399,75,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_7,636,50,115,96,43,29,0,11,374,0,3596,3795,0,0,0,0,0,0,0,0,0,0,0,22,300,125,0,2,1572,4389,3992,0,182,0,355,19,45,0,89,319,0,0,0,0,0,0,0,0,343,0,0,0,18726,4750,0,0,798,456,252,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,26,0,0,0,0,0,0,0,3920,3,3237,9,0,65,0,107,173,146,0,0,213,1762,595,0,0,347,2285,0,440,100,0,242,3088,262,0,47,10,76,19,16,2043,1026
SAMPLE_8,552,40,121,78,23,24,0,47,0,20,380,0,13,0,4625,1660,2805,514,4085,0,0,0,0,0,0,0,0,0,1509,4312,3848,0,191,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,18391,4653,0,0,790,411,250,429,37,41,89,177,0,0,6676,0,3895,1262,607,2,38,8,0,0,0,0,0,215,488,0,3242,1,3123,4,0,67,0,109,51,0,79,864,192,1886,621,0,0,0,2023,36,223,121,471,1033,3695,452,0,60,1,0,0,0,2065,1000
SAMPLE_9,0,38,419,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,330,2872,6677,7382,495,0,1072,0,293,73,0,127,297,316,43,825,32,2642,852,239,165,1242,0,0,0,0,36,58,0,1563,834,500,13,0,557,0,4798,0,962,0,2,0,1546,0,7,0,14,0,0,0,0,0,0,0,0,0,0,1683,677,2317,3398,0,3050,1229,294,170,1889,1051,4180,1137,0,0,520,3467,0,377,125,281,1358,2473,332,0,116,32,415,230,335,30,0
SAMPLE_10,0,36,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,2276,226,1146,0,2851,0,318,53,0,0,0,0,0,0,58,66,0,121,259,296,29,789,33,2436,765,211,144,1129,2811,138,0,0,42,55,0,0,0,0,16,0,579,0,4417,0,783,824,0,1019,2278,474,4,2,10,0,0,0,0,0,647,0,0,4096,0,4721,0,0,1142,0,2643,717,0,164,1818,1010,3457,1133,0,0,0,0,0,0,0,0,542,1859,148,0,76,37,376,269,301,22,0
